INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'cifar100', 'class_num': 100, 'arch': 'resnet18', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.0001, 'lr_factor': 0.2, 'bs': 128, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': 'runs/imagenet_cifar100/100/resnet18', 'checkpoint_path': 'checkpoints/imagenet_cifar100/100/resnet18', 'checkpoint_save_step': 5, 'log_path': 'log/resnet18/imagenet_cifar100/100/pretrain.log', 'end_epoch': 200}
INFO:root:Class_num: 100
INFO:root:Classes: range(0, 100)
INFO:root:Epoch 81 Test set: LR: 0.00009755,  Average loss: 0.0157, Accuracy: 0.4720
INFO:root:Epoch 82 Test set: LR: 0.00009730,  Average loss: 0.0157, Accuracy: 0.4716
INFO:root:Epoch 83 Test set: LR: 0.00009704,  Average loss: 0.0157, Accuracy: 0.4737
INFO:root:Epoch 84 Test set: LR: 0.00009677,  Average loss: 0.0156, Accuracy: 0.4791
INFO:root:Epoch 85 Test set: LR: 0.00009677,  Average loss: 0.0156, Accuracy: 0.4764
INFO:root:Epoch 86 Test set: LR: 0.00009649,  Average loss: 0.0155, Accuracy: 0.4782
INFO:root:Epoch 87 Test set: LR: 0.00009619,  Average loss: 0.0156, Accuracy: 0.4798
INFO:root:Epoch 88 Test set: LR: 0.00009619,  Average loss: 0.0155, Accuracy: 0.4769
INFO:root:Epoch 89 Test set: LR: 0.00009589,  Average loss: 0.0155, Accuracy: 0.4792
INFO:root:Epoch 90 Test set: LR: 0.00009557,  Average loss: 0.0154, Accuracy: 0.4810
INFO:root:Epoch 91 Test set: LR: 0.00009557,  Average loss: 0.0154, Accuracy: 0.4799
INFO:root:Epoch 92 Test set: LR: 0.00009524,  Average loss: 0.0153, Accuracy: 0.4824
INFO:root:Epoch 93 Test set: LR: 0.00009524,  Average loss: 0.0154, Accuracy: 0.4834
INFO:root:Epoch 94 Test set: LR: 0.00009524,  Average loss: 0.0155, Accuracy: 0.4826
INFO:root:Epoch 95 Test set: LR: 0.00009490,  Average loss: 0.0153, Accuracy: 0.4838
