INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'caltech256', 'domain_label': 'real', 'arch': 'vgg16', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_caltech256/vgg16', 'checkpoint_path': './checkpoints/imagenet_caltech256/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/imagenet_caltech256/log1.log', 'end_epoch': 180}
INFO:root:Test set: LR: 0.00534878,  Average loss: 0.0493, Accuracy: 0.6711
INFO:root:Test set: LR: 0.00526168,  Average loss: 0.0498, Accuracy: 0.6773
INFO:root:Test set: LR: 0.00517450,  Average loss: 0.0464, Accuracy: 0.6871
INFO:root:Test set: LR: 0.00508726,  Average loss: 0.0506, Accuracy: 0.6682
INFO:root:Test set: LR: 0.00500000,  Average loss: 0.0472, Accuracy: 0.6890
INFO:root:Test set: LR: 0.00500000,  Average loss: 0.0488, Accuracy: 0.6776
INFO:root:Test set: LR: 0.00491274,  Average loss: 0.0481, Accuracy: 0.6785
INFO:root:Test set: LR: 0.00482550,  Average loss: 0.0477, Accuracy: 0.6867
INFO:root:Test set: LR: 0.00473832,  Average loss: 0.0483, Accuracy: 0.6913
INFO:root:Test set: LR: 0.00473832,  Average loss: 0.0473, Accuracy: 0.6901
INFO:root:Test set: LR: 0.00465122,  Average loss: 0.0500, Accuracy: 0.6700
INFO:root:Test set: LR: 0.00456422,  Average loss: 0.0457, Accuracy: 0.6924
INFO:root:Test set: LR: 0.00456422,  Average loss: 0.0486, Accuracy: 0.6822
INFO:root:Test set: LR: 0.00447736,  Average loss: 0.0488, Accuracy: 0.6729
INFO:root:Test set: LR: 0.00439065,  Average loss: 0.0483, Accuracy: 0.6944
INFO:root:Test set: LR: 0.00439065,  Average loss: 0.0459, Accuracy: 0.6921
INFO:root:Test set: LR: 0.00430413,  Average loss: 0.0490, Accuracy: 0.6983
INFO:root:Test set: LR: 0.00430413,  Average loss: 0.0472, Accuracy: 0.6936
INFO:root:Test set: LR: 0.00421783,  Average loss: 0.0472, Accuracy: 0.6938
INFO:root:Test set: LR: 0.00413176,  Average loss: 0.0466, Accuracy: 0.6983
INFO:root:Test set: LR: 0.00404596,  Average loss: 0.0471, Accuracy: 0.6901
INFO:root:Test set: LR: 0.00396044,  Average loss: 0.0485, Accuracy: 0.6918
INFO:root:Test set: LR: 0.00387524,  Average loss: 0.0464, Accuracy: 0.7033
INFO:root:Test set: LR: 0.00387524,  Average loss: 0.0491, Accuracy: 0.6938
INFO:root:Test set: LR: 0.00379039,  Average loss: 0.0462, Accuracy: 0.6929
INFO:root:Test set: LR: 0.00370590,  Average loss: 0.0490, Accuracy: 0.6915
INFO:root:Test set: LR: 0.00362181,  Average loss: 0.0460, Accuracy: 0.7054
INFO:root:Test set: LR: 0.00362181,  Average loss: 0.0490, Accuracy: 0.6882
INFO:root:Test set: LR: 0.00353814,  Average loss: 0.0484, Accuracy: 0.6969
INFO:root:Test set: LR: 0.00345492,  Average loss: 0.0469, Accuracy: 0.6959
INFO:root:Test set: LR: 0.00337216,  Average loss: 0.0467, Accuracy: 0.7003
INFO:root:Test set: LR: 0.00328990,  Average loss: 0.0490, Accuracy: 0.6907
INFO:root:Test set: LR: 0.00320816,  Average loss: 0.0444, Accuracy: 0.7055
INFO:root:Test set: LR: 0.00320816,  Average loss: 0.0464, Accuracy: 0.7021
