INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Test set: LR: 0.00857236,  Average loss: 0.0564, Accuracy: 0.7629
INFO:root:Test set: LR: 0.00853553,  Average loss: 0.0564, Accuracy: 0.7726
INFO:root:Test set: LR: 0.00849832,  Average loss: 0.0536, Accuracy: 0.7721
INFO:root:Test set: LR: 0.00846072,  Average loss: 0.0533, Accuracy: 0.7750
INFO:root:Test set: LR: 0.00842274,  Average loss: 0.0503, Accuracy: 0.7911
INFO:root:Test set: LR: 0.00838438,  Average loss: 0.0522, Accuracy: 0.7888
INFO:root:Test set: LR: 0.00834565,  Average loss: 0.0491, Accuracy: 0.7890
INFO:root:Test set: LR: 0.00830656,  Average loss: 0.0494, Accuracy: 0.7953
INFO:root:Test set: LR: 0.00826710,  Average loss: 0.0528, Accuracy: 0.7719
INFO:root:Test set: LR: 0.00822729,  Average loss: 0.0503, Accuracy: 0.7921
INFO:root:Test set: LR: 0.00818712,  Average loss: 0.0529, Accuracy: 0.7832
INFO:root:Test set: LR: 0.00814660,  Average loss: 0.0539, Accuracy: 0.7855
INFO:root:Test set: LR: 0.00810574,  Average loss: 0.0507, Accuracy: 0.7885
INFO:root:Test set: LR: 0.00806454,  Average loss: 0.0487, Accuracy: 0.7937
INFO:root:Test set: LR: 0.00802300,  Average loss: 0.0606, Accuracy: 0.7468
INFO:root:Test set: LR: 0.00798112,  Average loss: 0.0487, Accuracy: 0.7909
INFO:root:Test set: LR: 0.00793893,  Average loss: 0.0468, Accuracy: 0.8078
INFO:root:Test set: LR: 0.00789641,  Average loss: 0.0477, Accuracy: 0.7990
INFO:root:Test set: LR: 0.00785357,  Average loss: 0.0474, Accuracy: 0.8035
