INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'mobilenet_v3_small', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/mobilenet_v3_small', 'checkpoint_path': './checkpoints/domainnet/real/mobilenet_v3_small', 'checkpoint_save_step': 5, 'log_path': './log/mobilenet_v3_small/domainnet/real/log1.log', 'end_epoch': 300}
INFO:root:Test set: LR: 0.00789641,  Average loss: 0.0823, Accuracy: 0.6330
INFO:root:Test set: LR: 0.00785357,  Average loss: 0.0829, Accuracy: 0.6343
INFO:root:Test set: LR: 0.00781042,  Average loss: 0.0777, Accuracy: 0.6561
INFO:root:Test set: LR: 0.00776696,  Average loss: 0.0814, Accuracy: 0.6341
INFO:root:Test set: LR: 0.00772320,  Average loss: 0.0839, Accuracy: 0.6251
INFO:root:Test set: LR: 0.00767913,  Average loss: 0.0835, Accuracy: 0.6272
INFO:root:Test set: LR: 0.00763478,  Average loss: 0.0827, Accuracy: 0.6420
INFO:root:Test set: LR: 0.00759014,  Average loss: 0.0837, Accuracy: 0.6333
INFO:root:Test set: LR: 0.00754521,  Average loss: 0.0836, Accuracy: 0.6238
INFO:root:Test set: LR: 0.00750000,  Average loss: 0.0809, Accuracy: 0.6430
INFO:root:Test set: LR: 0.00750000,  Average loss: 0.0819, Accuracy: 0.6408
INFO:root:Test set: LR: 0.00745452,  Average loss: 0.0852, Accuracy: 0.6249
INFO:root:Test set: LR: 0.00740877,  Average loss: 0.0810, Accuracy: 0.6454
INFO:root:Test set: LR: 0.00740877,  Average loss: 0.0824, Accuracy: 0.6330
INFO:root:Test set: LR: 0.00736275,  Average loss: 0.0780, Accuracy: 0.6530
INFO:root:Test set: LR: 0.00736275,  Average loss: 0.0805, Accuracy: 0.6484
INFO:root:Test set: LR: 0.00731648,  Average loss: 0.0790, Accuracy: 0.6500
INFO:root:Test set: LR: 0.00726995,  Average loss: 0.0815, Accuracy: 0.6344
INFO:root:Test set: LR: 0.00722318,  Average loss: 0.0827, Accuracy: 0.6302
INFO:root:Test set: LR: 0.00717616,  Average loss: 0.0790, Accuracy: 0.6512
INFO:root:Test set: LR: 0.00712890,  Average loss: 0.0815, Accuracy: 0.6387
INFO:root:Test set: LR: 0.00708140,  Average loss: 0.0809, Accuracy: 0.6408
INFO:root:Test set: LR: 0.00703368,  Average loss: 0.0776, Accuracy: 0.6513
INFO:root:Test set: LR: 0.00698574,  Average loss: 0.0771, Accuracy: 0.6587
INFO:root:Test set: LR: 0.00698574,  Average loss: 0.0809, Accuracy: 0.6371
INFO:root:Test set: LR: 0.00693758,  Average loss: 0.0791, Accuracy: 0.6418
INFO:root:Test set: LR: 0.00688920,  Average loss: 0.0772, Accuracy: 0.6608
INFO:root:Test set: LR: 0.00688920,  Average loss: 0.0818, Accuracy: 0.6412
INFO:root:Test set: LR: 0.00684062,  Average loss: 0.0792, Accuracy: 0.6530
INFO:root:Test set: LR: 0.00679184,  Average loss: 0.0811, Accuracy: 0.6441
INFO:root:Test set: LR: 0.00674286,  Average loss: 0.0763, Accuracy: 0.6613
INFO:root:Test set: LR: 0.00674286,  Average loss: 0.0791, Accuracy: 0.6546
